word,mine,Salah
quinces,0,0
compañeros,0,0
bogged,-1,-1
spiced,1,0
neurophysiology,1,0
clickin,0,0
kaysa,1,0
chocolate,0,0
streetfootballworld,1,1
dumbell,0,0
chocolaty,1,1
projectiles,-1,0
pesambah,1,0
ofproducts,1,0
luvs,1,1
misreading,-1,-1
goofiness,-1,0
spall,-1,0
pratiques,1,0
centennials,1,0
bendamustine,-1,0
redistributions,-1,-1
prenups,-1,0
garbageman,-1,0
pyrope,-1,0
reflux,-1,0
ponycar,1,0
ficer,0,0
liquored,-1,0
districts,0,0
aircrafts,0,0
handsaw,0,0
transsexualism,-1,0
predominating,-1,1
firster,1,0
kamishibai,0,0
sandlot,0,0
ileal,-1,0
slightest,1,0
mouvement,1,0
mesothelin,-1,-1
deservedly,1,1
flatliner,0,0
dropper,0,0
corrupted,-1,-1
cankle,-1,-1
mayonaise,0,1
amazons,1,0
mobilecast,1,0
newsletters,0,0
backlists,1,0
precalculated,-1,-1
pipa,1,0
markered,-1,0
stroke,0,0
corrupter,-1,-1
dropped,-1,-1
overproducing,-1,-1
quoll,0,0
hydrogen,-1,0
hydrogel,-1,0
garbles,-1,-1
opin,-1,0
congeals,-1,0
requirements,1,0
tml,0,0
unschooled,-1,-1
afterlife,0,0
upstaters,0,-1
minivans,0,-1
shiest,0,1
innumerable,1,-1
rondalla,0,0
standarized,1,1
upticks,-1,1
shouldnā,-1,-1
speaks,1,1
chronogram,1,-1
kriging,-1,0
demoniacal,-1,0
tipper,0,-1
tippet,0,0
irrational,-1,-1
ballroom,0,0
savvy,1,1
concering,-1,-1
rites,0,0
motorists,0,0
liftman,0,0
outlandish,-1,-1
tipped,-1,1
decalcification,-1,0
oviducts,-1,1
laminitic,-1,0
contri,1,-1
rightto,-1,-1
nannies,0,0
practicum,0,1
reposition,1,0
chesed,1,0
optout,-1,-1
maulanas,0,0
combis,0,0
snottily,-1,-1
compressing,-1,0
intragroup,-1,0
unfreeze,-1,0
glancing,-1,1
gunwales,0,0
textboxes,-1,1
superscript,-1,0
refund,-1,0
sonnet,-1,0
disannexation,0,-1
awws,1,0
subantarctic,0,0
overgrown,-1,-1
undervalued,-1,-1
blocker,1,0
antitheft,-1,0
airparks,-1,-1
clickair,1,1
canary,-1,0
fangs,0,0
canard,-1,0
accolades,1,1
shahtoosh,0,0
sonnen,1,0
zazz,1,1
worship,0,0
psoralen,-1,0
blocked,-1,-1
showmanship,1,1
segregationists,-1,0
rebalancing,-1,1
overinflating,-1,-1
showstoppers,1,1
cutted,-1,1
innnings,1,1
synagogues,0,0
outraced,1,0
coordinates,1,0
coordinater,1,0
mailroom,-1,0
reubens,0,1
hyeok,0,0
coordinated,1,0
outraces,1,1
digibox,1,0
meridian,0,0
pemphigoid,-1,0
cutter,-1,0
opiods,-1,-1
popularizes,1,1
floorcoverings,0,0
marunong,1,1
appraised,1,0
conversations,-1,1
femto,1,0
warrantee,-1,-1
warranted,1,1
naija,1,0
jeonse,0,-1
livest,1,0
bittersweetly,1,0
wefts,0,0
feathered,1,1
committeewomen,0,0
appraiser,0,0
appraises,1,1
candlesticks,0,0
djellabas,0,0
ject,1,-1
realist,-1,0
opera,0,0
telluride,-1,1
ooking,1,1
slumps,-1,-1
roverback,1,0
disunited,-1,-1
overallocated,-1,-1
escapists,0,0
motivic,1,0
deceiver,-1,0
sterilizable,-1,0
whodunnits,-1,0
nullhe,-1,-1
realism,1,0
whoe,-1,-1
inaugurating,0,0
overcomplicated,-1,-1
weighted,-1,1
nettlesome,-1,-1
pillaged,-1,-1
enterobacteriaceae,-1,0
mogelijk,1,0
ultramafic,0,0
preferrable,-1,-1
belty,1,1
pillager,1,0
pillages,-1,0
zebra,0,0
aggregating,1,0
samurais,-1,0
myrtle,0,0
frijoles,0,0
reckons,1,1
insectivorous,0,0
ultimately,1,-1
bellsouth,-1,0
obfuscations,-1,-1
bubs,0,0
coincidentally,-1,-1
cherts,0,0
corporatespeak,0,0
anticlotting,-1,-1
cactuses,0,0
fearmongers,-1,-1
zenlike,1,1
someplace,0,1
dalams,0,0
expellers,0,-1
buba,0,0
doumbek,0,0
uprising,0,0
memba,1,1
unco,1,-1
unch,1,0
nited,1,0
cloves,0,0
clover,0,0
famliar,1,1
hangnail,-1,0
burps,0,0
junkiest,-1,-1
pathogenic,-1,0
sogno,1,0
satanic,-1,0
queries,-1,-1
ivied,1,0
streetfighting,-1,0
revering,1,-1
bouffant,0,0
chhole,0,0
obituaries,-1,0
respawning,-1,0
antihypertension,-1,0
nightmarish,-1,-1
dibasic,-1,0
ivies,0,0
kidology,-1,0
explorers,0,0
idealogies,-1,-1
unmastered,1,0
arenite,-1,0
breaststoke,1,1
ghettoizing,-1,-1
fundraise,0,0
pasttimes,0,0
schnapps,0,0
granule,1,0
unworldliness,-1,-1
unrefunded,-1,-1
supergun,0,0
consequencies,-1,-1
sugarbeets,0,1
coalbeds,0,0
musicfest,0,0
teammates,0,1
oboes,1,0
carney,-1,0
hosers,-1,0
feign,-1,0
acci,-1,-1
divorced,-1,-1
quasiparticle,-1,0
chickenhawk,-1,-1
blacker,-1,-1
acca,1,1
carnet,1,0
sovereign,0,0
unordained,1,0
soaring,1,-1
srike,1,1
accu,1,0
acct,-1,0
coalface,-1,1
centredness,1,1
pokemon,1,0
happoshu,0,-1
telopeptide,-1,0
millions,0,-1
disinterested,-1,1
accepté,1,0
surveys,0,-1
divorcee,-1,0
unsightliness,-1,-1
resecuritized,-1,-1
coopering,0,0
demolishment,0,-1
reclamations,-1,-1
extravanganza,0,0
oids,-1,-1
novelisation,-1,0
coining,1,0
convention,0,0
manush,0,0
vinclozolin,-1,0
circa,-1,0
frontrow,1,0
holden,-1,0
seca,0,0
choppiest,1,1
holdem,-1,0
nonkinetic,-1,1
hua,0,0
hub,0,0
undercrackers,0,-1
hul,1,0
hum,-1,0
hun,1,0
huo,1,0
inluded,1,1
braun,-1,0
inexpressible,1,1
prayerbook,0,0
hut,0,0
silang,1,0
hup,0,0
arsed,-1,0
hur,1,0
tempera,0,0
probationers,0,0
jubliant,1,1
kindreds,1,0
inludes,1,0
holder,0,0
paraphilias,-1,-1
focusedon,1,1
petrified,-1,-1
devaluate,-1,-1
demythologizing,-1,1
looting,-1,-1
veganic,1,1
bioterrorists,-1,0
knowledges,1,0
diplomatic,0,0
myalgia,-1,0
choux,0,0
jamás,1,0
sidecars,1,0
obtuseness,-1,-1
kinesiology,0,0
bufala,0,0
souvenired,0,0
petrifies,-1,-1
biochips,-1,0
inthree,-1,0
ballhandler,1,0
reguarly,1,0
ulti,1,0
medullary,-1,0
biomedicines,1,0
dualisation,-1,0
armored,-1,0
unbathed,-1,-1
antimacassars,0,0
underprepared,-1,-1
runtimes,1,0
southest,0,0
rudimental,1,1
armorer,0,0
dualling,0,0
stolin,0,0
gaseous,-1,0
stolid,1,1
polymerases,-1,0
lightcycle,-1,0
shtml,0,0
thumbsticks,1,1
garaged,1,1
exploratory,-1,0
transcription,0,0
potentional,1,1
ideologists,-1,0
défi,1,0
fatuousness,-1,-1
dining,0,0
emphasis,-1,-1
rainboots,0,0
thermometer,0,0
darkling,-1,0
lorida,-1,0
coah,1,1
governmet,-1,-1
resurrections,-1,0
sterns,0,0
nangyayari,1,-1
botulinum,-1,0
replicas,0,0
outstretching,1,1
stylie,0,1
sherman,-1,0
whisp,1,0
frio,0,0
visitors,0,0
frim,1,0
playscape,0,0
frig,0,0
librarian,0,0
frie,1,0
precludes,-1,0
littering,-1,-1
sterno,0,0
encasing,-1,0
consolatory,1,1
coalfield,-1,0
neuro,1,0
uncorks,1,0
freelancer,0,0
considered,1,1
posistion,1,1
yellowthroat,0,0
affg,-1,-1
needler,1,0
deselection,-1,-1
verminous,-1,-1
akekee,0,0
dépanneur,0,0
tortfeasors,-1,-1
superantigens,-1,-1
saamne,1,0
pendancy,0,-1
quadoval,1,0
perch,0,0
vetted,-1,1
frustrates,-1,-1
touchingly,1,1
interlockings,0,0
ugali,0,0
deadpanned,1,1
revamping,-1,-1
percy,1,0
unlockers,-1,-1
panchs,0,0
dandelions,0,0
vetter,-1,-1
unseeing,-1,-1
southwestern,1,0
fitments,1,0
brazening,0,-1
cyclosporin,-1,0
sokaiya,-1,-1
whch,0,0
musky,-1,0
crimi,-1,0
basketmaking,0,0
toxocariasis,-1,-1
overconfidence,-1,-1
wooled,0,0
incluidng,-1,0
crime,-1,0
stains,0,-1
kindie,1,0
doners,0,0
multigigabit,1,1
spicey,1,1
talkgroups,1,0
crims,0,0
crimp,-1,0
manuver,0,0
hooting,-1,1
narrows,-1,-1
hovercrafts,0,0
daters,0,0
thenational,0,0
pullets,0,0
nell,1,0
nonbreeding,0,0
boilers,0,0
soulja,-1,0
substitutionary,-1,0
blackfish,0,0
tailor,1,1
bolometer,-1,0
spiffed,1,0
nonbonding,-1,-1
primates,0,0
treachery,-1,-1
dly,0,0
cryptosporidium,0,0
freaking,1,-1
finalizes,1,1
feddans,0,0
mewed,-1,-1
pinnacle,1,1
reprographics,1,0
longhouses,0,0
isip,1,0
capacité,1,0
framings,-1,-1
mapped,1,1
cocaleros,0,0
regrind,-1,1
cutlines,1,0
learnership,1,1
battlers,-1,0
postmarketing,-1,-1
nondecision,-1,-1
netizens,0,0
violated,-1,-1
sleepily,0,0
executrix,1,0
kitfo,0,0
monopods,1,0
undesignated,0,0
simmering,0,-1
strops,-1,0
undertook,1,0
enzymatically,-1,0
violates,-1,-1
exam,0,0
gangmaster,0,0
fails,-1,-1
heterodox,-1,-1
biofueled,0,0
bicyclist,0,0
threatning,-1,-1
jeter,1,0
loanees,1,0
gemacht,1,0
gainst,-1,0
charters,0,0
seers,0,0
mineability,-1,1
inexorability,-1,-1
spireas,0,0
sacker,0,0
receivers,0,0
summmer,0,1
ringspot,0,0
agencies,0,-1
inseminated,-1,0
inclusions,0,0
floundering,-1,-1
tooling,0,0
respectible,-1,1
oilprices,-1,-1
ement,1,0
dutiful,1,1
freakiest,-1,0
byes,1,0
bunko,0,0
undersupplied,-1,-1
outcompeted,-1,-1
skylines,0,0
oikomi,-1,0
prescreen,0,0
poivre,0,0
successes,1,1
darin,1,0
cafes,0,0
unspoilt,1,1
ligaments,-1,0
crunchiness,1,1
tweeners,0,0
propagation,-1,0
subthreshold,-1,0
unworkability,-1,-1
outcompetes,0,0
iinet,1,0
snarls,-1,-1
chicanes,-1,1
prettiest,1,1
bunks,0,0
snarly,-1,-1
authoring,-1,0
launderings,0,0
principalmente,1,0
unu,1,0
pols,0,0
factorsthat,-1,0
hepatotoxicity,-1,0
ebrary,1,0
percussionist,1,0
shaykhs,0,0
devrait,1,0
robotics,-1,0
inuksuit,0,0
poly,1,0
sampling,1,0
triggerfish,0,0
pole,0,1
harware,-1,-1
pundits,-1,-1
initialing,-1,1
trepang,0,-1
polo,-1,0
unleaded,0,0
poll,-1,0
polk,1,0
runaway,1,-1
healthly,1,1
chael,1,0
mainstreamed,-1,1
cineplexes,0,0
moralers,0,1
lifes,1,0
lifer,0,0
chronobiology,1,0
abdul,1,0
filmmakers,0,0
corde,1,0
bedsit,0,0
gaited,1,1
amet,1,0
commiserating,-1,-1
movimientos,1,0
reuters,-1,0
succesful,1,1
gaiter,0,0
cords,0,0
hardly,-1,1
myaccount,0,0
saltiest,-1,0
vilely,-1,-1
exclosure,0,1
flunkies,-1,0
exomes,-1,0
societally,-1,-1
chasis,-1,-1
conciliar,1,0
riboswitch,-1,0
sigining,1,1
cresting,1,0
hooping,0,0
luffa,0,0
tamil,1,0
expatiates,1,0
archrivals,0,0
paying,-1,-1
libelous,-1,-1
hughes,1,0
knucklehead,-1,-1
amend,-1,-1
bereft,1,-1
admissibility,-1,0
cadastre,1,0
sketchpad,0,0
detoxifying,1,0
gong,1,0
explicitness,-1,0
straitjacketed,-1,-1
viande,1,0
reoccupies,0,0
shrieks,-1,0
vitalizing,1,1
workcamp,0,0
pwned,-1,-1
amens,1,0
uncomprehendingly,-1,-1
walla,1,0
oxynitride,-1,0
meatcutter,0,0
trackless,-1,0
acoustician,1,0
transwomen,-1,-1
prophesize,-1,-1
heelers,0,0
snaking,1,0
disestablish,-1,0
decied,1,-1
resubdivision,0,0
ontogeny,-1,0
clutter,-1,-1
corncakes,0,0
muumuu,0,0
ellipsoid,-1,0
volition,-1,-1
rungs,0,0
helmet,0,0
resentful,-1,-1
codynews,1,-1
toweled,0,0
stargazed,0,1
alphabet,-1,0
unrolled,0,0
longhole,-1,1
kittiwakes,0,0
coarsely,1,-1
helmed,1,0
toour,1,1
cappelletti,0,0
rehung,-1,0
unthoughtful,-1,-1
sangham,0,0
mediumpacer,1,-1
nonpartisans,-1,-1
shifty,-1,1
columnaris,-1,0
toweling,0,1
layabouts,-1,-1
uhm,1,0
miraculousness,1,1
booths,0,0
palmas,0,0
palmar,-1,0
comander,1,0
ninefold,-1,0
customisability,1,1
producers,0,0
hawkeye,1,0
amperometric,-1,0
tunefully,1,0
quer,1,0
enormousness,1,0
apotheosis,1,1
exstrophy,-1,0
nonvested,1,-1
nonscheduled,-1,-1
threaded,1,1
yukfest,-1,0
earthern,0,0
codeshared,0,0
uppercrust,-1,0
bikepath,0,0
haybales,0,0
longserving,1,0
cullers,0,-1
katoeys,0,0
tipline,0,0
aggro,-1,-1
threader,-1,1
tracting,0,-1
baccala,0,0
uhr,1,0
hypnagogic,-1,0
nonmobile,1,1
horology,1,0
misdiagnosing,-1,-1
exabyte,1,0
juris,1,0
fathoming,-1,0
guided,1,1
nonstandardized,-1,-1
sestak,-1,0
retreatment,-1,-1
pariah,-1,-1
entweder,1,0
harrison,0,0
mongoose,0,0
ethyl,-1,0
downvalley,0,0
baldwin,1,0
guides,0,0
oversimplistic,-1,-1
unceremonious,-1,-1
overlapped,-1,-1
nonresponse,-1,-1
assemblages,0,0
uhz,1,0
except,-1,1
achived,1,1
flexibilty,1,1
kimberly,1,0
beargrass,0,0
trashings,-1,-1
conceptualisation,1,-1
dropcloths,0,0
niftier,1,1
paramyxovirus,-1,0
scheduled,1,1
comission,-1,-1
shearer,0,0
gymnosperms,0,0
virginia,1,0
loanee,1,0
loaned,1,0
featherbedding,-1,-1
referenceable,1,1
azo,-1,0
chmod,-1,0
coaxial,1,0
schedules,0,0
gamespot,-1,0
loaner,1,-1
hydros,0,0
color,0,0
sheared,-1,0
lavaliere,0,1
fibromyalgia,-1,0
ragamalika,1,1
rototilling,0,0
filigrees,0,0
unshorn,0,-1
freestyled,1,1
wbf,1,0
wbd,1,0
ico,1,0
tecnicos,0,0
mentum,-1,0
recalls,-1,-1
labyrinths,0,0
freestyler,1,0
filigreed,1,0
pediculosis,-1,0
outpaces,1,0
goldilocks,1,1
sequencer,1,0
reversers,-1,-1
cratons,0,0
suprise,1,1
trainable,1,1
egal,1,0
suctioning,0,0
nonmajors,0,0
toker,0,0
outpaced,1,1
footways,0,-1
gateaux,0,0
informant,0,0
adjuncts,0,0
jodhpur,0,0
floured,0,1
centurylong,-1,-1
isothiocyanates,0,0
incidentals,0,0
literals,-1,-1
exsiting,1,0
unc,1,0
redit,-1,0
literaly,0,0
lickable,0,0
colchicum,0,0
nutty,1,-1
akharas,0,0
goofy,-1,-1
dividable,-1,0
defibrillators,0,0
redid,-1,-1
quitting,-1,-1
marula,0,0
supplicated,1,0
calmed,1,1
priapism,-1,0
kvm,1,0
saludo,1,0
depegged,0,0
boisterous,1,1
communicate,1,0
nudist,-1,0
tamiflu,0,0
inordinately,-1,-1
firebrick,0,0
nudism,0,0
cyclosportive,1,1
calmer,1,1
goofs,-1,-1
embarassing,-1,-1
opaquely,-1,-1
stretchered,-1,0
chicklit,-1,0
oo,1,0
on,1,-1
om,1,0
boondocks,0,-1
ok,-1,1
monastry,0,0
oi,1,0
oh,1,1
og,1,0
ketoprofen,-1,0
oe,1,0
od,1,0
denigrates,-1,-1
reinforcing,1,1
oa,1,0
precedessor,-1,0
mutually,1,0
subdues,-1,1
oz,0,0
oy,1,0
ox,0,0
ow,-1,0
ov,1,0
ou,1,0
ot,0,0
os,-1,0
or,0,-1
bourguignon,0,0
op,1,0
amber,1,1
underreported,-1,-1
coauthoring,-1,0
celebreality,-1,0
victual,0,0
kamnan,0,0
shorthands,-1,0
communication,-1,0
mcjoan,-1,0
rubberstamped,-1,-1
garner,1,1
soapstone,0,0
lakeview,0,0
tiding,1,1
lossed,-1,-1
abrogate,-1,-1
sweepstake,0,0
jetskiing,0,1
magnetoresistive,-1,0
dicount,1,-1
cantankerousness,-1,-1
congeniality,1,1
strictly,1,1
equates,-1,1
hazards,-1,-1
racism,-1,0
strick,-1,0
quayside,0,0
cinematheque,0,0
racist,-1,-1
refuellers,0,0
extolled,1,1
highdefinition,1,1
condone,-1,-1
equated,-1,-1
unh,1,0
hindi,1,0
tupe,1,-1
mydlink,1,0
illum,1,0
atack,-1,0
grunge,1,0
amandine,0,0
jud,1,0
matriculas,0,0
juh,1,0
bellybuttons,-1,0
jun,0,0
pinewoods,0,0
jul,0,0
beret,0,0
jur,1,0
jus,1,0
soprano,1,0
strenuous,1,1
jut,0,0
rosebush,0,0
grungy,-1,0
congential,-1,-1
illus,-1,0
cardamoms,0,0
subcontractors,0,-1
terminus,0,0
applying,1,0
cyberchondriacs,-1,-1
replikins,-1,1
contango,-1,0
volcanogenic,-1,0
anchovies,0,0
barrelman,0,1
merriness,-1,0
aphorist,-1,0
utenti,1,1
ayoko,1,-1
nerdier,-1,0
lumpenproletariat,-1,0
complexing,-1,0
castles,0,0
politick,0,-1
libros,1,0
chemoprevention,-1,0
muzzy,-1,-1
nightwatchman,0,0
organogenesis,-1,0
totaling,-1,0
politica,1,0
metastasis,-1,0
humidex,0,1
metrorail,0,0
reknown,1,0
mormons,-1,-1
myhome,0,0
asynchronous,1,0
cheesey,1,1
melanocytes,-1,-1
antiglare,1,-1
politics,0,0
unteach,1,1
cohesion,1,1
subhed,-1,0
hydralazine,-1,0
bicycling,0,0
landspeed,1,0
guzheng,1,0
benevolently,1,0
splendours,0,0
allusions,-1,0
winkie,0,0
upfrom,0,0
funcionarios,1,0
criticsed,-1,-1
dreadnought,1,0
atropine,-1,0
announcements,0,0
unneeded,-1,-1
dismayed,-1,-1
cheesesteaks,0,0
lifeforms,0,0
songy,1,1
eonline,-1,-1
hardcoded,-1,-1
wthin,1,1
oneself,0,0
ilan,1,0
swilled,0,-1
pericarp,0,0
gunplay,-1,0
rechristened,-1,0
fetid,-1,-1
picogram,-1,1
courtly,1,1
cleansheet,1,1
unbackable,1,1
cofilin,-1,0
browbeats,-1,-1
signficantly,1,-1
hyperinsulinemia,-1,0
illusive,1,1
hyperinsulinemic,-1,-1
skywatchers,0,0
daytrips,0,0
arsenals,0,0
overblow,-1,-1
tiddlywinks,0,0
signors,-1,-1
odds,-1,-1
telex,-1,0
unscathed,1,1
nitric,-1,0
catchily,1,0
rimmed,1,1
microfiches,0,0
animator,0,0
fantasists,-1,0
metastic,-1,0
downregulates,-1,0
truh,1,0
migrated,-1,0
bodyshell,1,0
tailwaters,0,0
tribunals,-1,-1
sluggers,0,0
sightholders,0,0
darshans,0,0
transtelephonic,1,0
surgical,1,0
packshot,1,0
chaupals,0,0
migrates,1,0
parmesan,0,0
grainier,-1,-1
globalize,1,0
defamations,-1,0
thugocracy,-1,-1
earmuffs,0,0
pesewa,0,0
counterplots,-1,-1
defaulters,-1,-1
icluding,1,0
assuage,1,-1
incisiveness,1,1
carrycot,0,0
numbingly,-1,-1
weaks,0,0
twistiest,1,1
diluting,1,-1
testiness,-1,-1
program,0,0
oversexed,-1,-1
aficianados,0,0
woould,0,1
hackability,-1,-1
inconspicuous,1,1
presentation,0,0
backslide,-1,-1
headbox,-1,-1
woman,0,0
explainers,1,0
equivocal,-1,-1
iscurrently,1,0
sparkplugs,1,0
disfranchisement,-1,-1
ped,1,0
soled,1,0
induce,-1,0
simpsons,0,-1
underripe,0,-1
sandstones,0,0
soles,0,0
rebounds,1,1
supportin,-1,-1
induct,0,0
buñuelos,0,0
tenges,0,0
posttraumatic,-1,0
nakikitang,1,0
vibed,1,1
anacetrapib,-1,-1
decission,-1,-1
kindheartedness,1,1
gerrard,1,1
grandfather,0,0
trench,0,0
monther,-1,-1
vibes,0,1
lider,1,0
unroaded,0,-1
inclemency,-1,-1
vibey,1,1
chilaquiles,0,0
conflicted,-1,-1
prickled,-1,-1
manslaughter,-1,0
banders,0,0
direr,-1,-1
dianthus,0,0
nonrandom,-1,-1
socring,1,1
restrengthen,0,0
strenghthen,1,1
ratz,-1,-1
faites,1,0
anonymising,-1,0
direc,1,0
knuckleballer,1,0
rate,0,-1
incluing,1,-1
design,0,0
tiwi,1,1
rata,1,0
direk,1,0
manalo,1,0
hicago,-1,0
warmonger,-1,-1
etoile,0,0
nanotags,-1,1
aphrodisiac,1,0
abridgement,-1,0
vomitoxin,0,0
sutures,-1,0
hesitation,1,1
gunk,0,-1
accreditor,0,0
dreaded,-1,-1
upheavel,-1,-1
deeply,1,-1
beyotch,-1,-1
hadron,-1,0
guna,1,0
mediaperson,0,0
rondavels,0,0
miniaturist,1,0
communitywide,0,0
elasticized,0,0
mandis,0,0
eries,1,0
mandir,0,0
guns,0,-1
vidgames,1,0
intraepithelial,-1,0
cheetahs,0,0
bossing,-1,1
sali,0,0
nopalitos,0,0
myalgias,-1,-1
doorframe,0,0
calisthenic,1,1
eligibility,-1,0
fugue,1,0
seeping,-1,-1
ics,1,0
yotch,-1,1
extoll,1,0
overactive,-1,-1
humanus,-1,0
combating,-1,0
retraining,-1,-1
andrews,1,0
ultraclean,0,0
roussanne,0,0
bullishly,-1,1
reciver,1,0
breakable,1,-1
surpress,-1,-1
misinterpret,-1,-1
iphoto,-1,0
lintels,0,0
degrowth,-1,-1
tranylcypromine,-1,0
ornithological,0,0
wigged,-1,0
kettlebell,0,0
spankin,1,0
ispo,1,0
sculptural,1,0
crunchtime,1,1
wigger,-1,-1
supplicate,1,0
crankier,-1,-1
biowaste,0,0
renegades,-1,-1
sticking,-1,1
tillering,0,0
forseeing,-1,-1
gybed,0,0
thankfully,-1,1
texte,1,0
bandsaws,0,0
texto,1,0
commandments,1,0
screens,0,1
texts,-1,0
armoire,0,0
mutant,-1,0
pretexters,-1,-1
stickiest,-1,-1
feedings,0,0
breaklines,0,1
viscoelastic,-1,0
chondrite,-1,0
outfields,0,0
scho,0,0
zukes,0,1
ocr,-1,0
fullblown,-1,-1
zune,-1,0
tarpaulin,0,0
interception,-1,0
doorstopper,-1,0
threepointer,0,0
piggyback,-1,0
apprehend,0,0
inlay,1,0
transgenderism,-1,0
inlaw,0,-1
converters,0,0
pterostilbene,0,0
multileveled,1,0
tryna,-1,0
wretched,-1,-1
seismograph,0,0
quilty,-1,-1
biretta,0,0
tryng,1,-1
yahn,1,0
redesigns,-1,0
golly,-1,1
charades,-1,0
brothas,-1,-1
unstable,-1,-1
urbanize,0,0
floyd,1,0
wretches,-1,-1
minidisks,-1,0
draughty,-1,-1
eventuality,1,1
thusfar,1,1
debates,-1,0
quantized,-1,0
meteoroid,-1,0
quilts,0,0
equation,-1,0
policemen,0,0
partout,1,0
hypnotherapy,0,0
debated,-1,-1
neighorhood,0,0
autograft,-1,0
lobelia,0,0
staffmembers,0,0
gothic,1,0
martens,0,0
bugaboos,-1,-1
excursion,0,0
evangelicals,-1,-1
matchmaking,0,0
gastarbeiter,0,0
whippersnapper,-1,0
embarrassing,-1,-1
stomachache,-1,0
cosmological,-1,0
diabesity,-1,-1
sectioned,-1,0
abandonment,-1,-1
dinhi,1,1
itemising,-1,-1
competion,0,0
dubiously,-1,-1
arise,-1,-1
cultivate,1,0
offspring,1,0
earpiece,0,0
justificatory,-1,-1
transduction,-1,0
scratchers,0,-1
articling,0,0
desperation,-1,-1
flydubaiflydubai,1,1
candlepin,0,0
cleansing,1,0
penpal,-1,0
fått,1,0
seismometer,0,0
buenos,1,0
septillion,-1,0
motels,0,0
nitwits,-1,-1
boardshorts,0,0
quebecois,1,0
dracunculiasis,-1,0
shyte,-1,-1
wspm,0,0
lateraling,0,0
cytokine,-1,0
conviced,-1,-1
emulate,1,1
iimia,1,0
nutmeats,0,0
dustups,-1,0
indomitably,1,1
mostimportant,1,1
yersinia,-1,0
indomitable,1,1
biotype,0,0
stricking,0,0
aprés,1,1
capitalize,1,0
mmbo,1,0
carmaker,0,0
dirham,0,0
rotund,1,0
unstinting,1,1
kippah,0,0
footer,0,0
tsai,0,0
decarbonise,1,1
unitl,-1,0
tsan,1,0
strutting,1,1
redhorse,0,0
footed,1,0
tsar,-1,0
pver,1,0
specifying,-1,-1
agnostics,-1,0
fka,1,0
xkoto,1,0
rentals,0,0
unsatisfyingly,-1,-1
unhip,-1,-1
kippas,0,0
plaice,0,0
feminized,-1,-1
qaurter,1,0
tallahassee,1,0
confianza,1,0
schillings,0,0
socialresponsibility,0,0
sloop,0,0
unauthenticated,-1,-1
extracapsular,-1,1
anachronistically,-1,-1
discomfited,-1,-1
dichotomous,-1,-1
topurchase,1,0
logan,1,0
stenting,-1,0
underwhelmed,-1,-1
paunchy,1,0
concentric,-1,0
wayang,0,0
neurofilament,-1,0
demyelinated,-1,-1
microseismic,1,0
glide,0,1
inca,1,0
environmentalist,0,0
créer,1,0
billers,1,0
electioneering,0,0
esoterically,-1,-1
lunchmeats,0,0
defoliants,0,0
argentino,1,0
oxidization,-1,0
burglers,0,0
forbearances,-1,-1
argentina,1,0
argentine,1,0
grimed,-1,-1
bullies,-1,-1
reenactor,0,0
persecutions,-1,0
rutile,-1,0
bigged,-1,1
protaganist,-1,0
insensibility,-1,-1
speechless,1,1
units,0,0
premedical,0,0
dumating,1,0
prinicipal,0,0
miscommunicate,-1,-1
samson,0,0
gug,0,0
trippiness,1,0
bigger,-1,1
braindead,-1,-1
apostille,-1,0
frier,0,0
gets,0,-1
runless,1,1
screenfuls,-1,-1
masterservant,1,0
yng,1,0
ingratiatingly,-1,1
utilized,1,1
woodcarvers,0,0
cantonment,0,0
schoools,0,0
blackboards,0,-1
tomatoes,0,0
tunities,1,0
notated,1,1
cinq,1,0
genco,1,0
terpenoids,0,0
steamroom,0,0
popiah,0,0
happends,-1,-1
taekwon,0,0
pedallers,0,0
modernizes,-1,0
modernizer,-1,0
leucogranite,-1,0
radiuses,1,0
autobiographical,-1,0
modernized,-1,1
programs,0,0
culturally,1,-1
drumfire,-1,-1
scratching,-1,-1
stemmy,0,1
wages,0,-1
seditious,-1,-1
tsismis,1,-1
vacillations,-1,-1
shamefaced,-1,-1
marketplaces,0,0
coached,1,1
draftsmanship,1,0
ingham,1,0
deadens,-1,-1
nepal,1,0
angulation,-1,0
puckering,1,1
disbelieves,-1,-1
disbeliever,-1,0
impalements,-1,0
wayyyyy,-1,1
paradise,1,1
postponements,-1,-1
bequerels,0,0
caucasian,-1,0
deadend,-1,-1
evader,-1,-1
hailing,0,1
postsurgical,-1,0
confirmable,1,1
boldness,1,1
frontmen,1,0
visualizers,1,1
videographer,0,0
gigaflop,1,0
fuerzas,1,0
disinfect,-1,0
outsells,-1,0
ounty,0,0
electrostatically,-1,0
teach,1,0
moundsmen,1,1
guy,0,1
outfalls,0,0
kol,1,0
tastelessly,-1,0
unionisable,0,-1
studens,0,-1
leprous,-1,-1
weightroom,0,1
dolphinarium,0,0
brevetoxins,-1,0
ffooo,1,0
milliarcseconds,1,0
competely,1,-1
wyodutch,1,0
adirondack,1,0
stakeswinners,1,1
dependently,-1,-1
handwringing,-1,-1
mams,-1,1
solidly,1,1
aftersales,1,1
pommy,-1,-1
unhealthy,-1,-1
unencapsulated,-1,0
lalawigan,1,0
realpolitik,-1,0
ewwwww,-1,-1
thefirst,1,0
rankles,-1,-1
notlimited,1,0
obasanjo,-1,0
defects,-1,-1
heirhead,-1,-1
